title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
True Lies,18.560442695023177,38.729418,141.0,7.0,1994.0,2,19.752736456331352
The Taking of Pelham 1 2 3,18.420680753952364,40.597856,106.0,6.0,2009.0,3,18.827252752553417
Little Fockers,18.420680753952364,32.389353,98.0,12.0,2010.0,2,19.55417932083949
The Other Guys,18.420680753952364,24.399642,107.0,8.0,2010.0,3,18.953852393127775
Eraser,18.420680753952364,24.507987,115.0,6.0,1996.0,4,19.305668873609182
Django Unchained,18.420680753952364,82.121691,165.0,12.0,2012.0,2,19.86846579644804
The Hunchback of Notre Dame,18.420680753952364,46.727941,91.0,6.0,1996.0,3,18.42206830084989
The Emperor's New Groove,18.420680753952364,51.113717,78.0,12.0,2000.0,5,18.947346377736228
The Expendables 2,18.420680753952364,53.732892,103.0,8.0,2012.0,3,19.560349956342705
National Treasure,18.420680753952364,58.849256,131.0,11.0,2004.0,4,19.6661367817319
Eragon,18.420680753952364,30.863434,104.0,12.0,2006.0,4,19.334119837768803
Where the Wild Things Are,18.420680753952364,31.586215,101.0,10.0,2009.0,2,18.421548307510246
Epic,18.420680753952364,36.711378,102.0,5.0,2013.0,4,19.408088194352818
The Tourist,18.420680753952364,41.426678,103.0,12.0,2010.0,3,19.44575904442439
End of Days,18.420680753952364,20.652943,121.0,11.0,1999.0,4,19.172045152055585
Blood Diamond,18.420680753952364,52.792678,143.0,12.0,2006.0,3,18.956459923820983
The Wolf of Wall Street,18.420680753952364,95.007934,180.0,12.0,2013.0,3,19.78677417071235
Batman Forever,18.420680753952364,48.205606,121.0,5.0,1995.0,3,19.63419531548269
Starship Troopers,18.46947091764561,58.782359,129.0,11.0,1997.0,4,18.6130712549265
